run,lumisection,evt,mu1pt,mu1eta,mu1phi,mu1en,mu2pt,mu2eta,mu2phi,mu2en,mu3pt,mu3eta,mu3phi,mu3en,chi2
283876,293,418166295,8.3782,-1.88126,0.0431663,28.1264,5.91245,-1.95408,0.0131901,21.2826,3.26615,-2.04156,0.339029,12.7914,4.63308
283876,293,416967827,6.00146,-0.755968,0.800956,7.8003,4.22182,-0.81472,1.34211,5.7032,4.03238,-0.952318,1.08791,6.00424,13.4673
283876,293,418264342,31.4361,0.394792,-2.84225,33.9181,10.6953,0.395526,-2.9028,11.5434,3.46211,0.589694,-2.94094,4.08308,28.0979
283820,908,1605549660,11.0914,1.87272,2.73552,36.9329,5.39241,1.68351,2.69454,15.0186,3.90416,1.2597,3.0777,7.43448,12.7898
283820,908,1604246023,4.6715,-1.80685,3.02148,14.6115,3.75152,-1.51267,3.07505,8.92768,3.56489,-1.93112,-2.68845,12.5528,329.063
283820,908,1604514173,5.7444,1.7085,2.69157,16.3772,5.13328,1.76808,2.92996,15.4778,3.04021,2.17807,2.63946,13.594,14.504
283820,908,1604742786,6.74675,-0.747141,3.01412,8.71971,4.60671,-0.552482,-3.1208,5.32889,3.75858,-1.11605,-3.09091,6.35351,97.9682
283820,908,1605404843,8.21323,-1.01597,-0.546046,12.8299,6.64762,-0.640406,-0.207815,8.05871,6.23948,-0.986149,-0.339445,9.52796,256.033
283820,908,1604551033,5.33461,-1.61379,1.15846,13.9262,3.13183,-1.90882,1.24711,10.795,2.08393,-1.89679,1.12544,7.10126,5.86358
283820,908,1606025792,6.33142,1.77049,0.409555,19.1338,5.06091,1.43961,0.408522,11.2764,4.89661,1.53267,0.259038,11.8661,188.053
283820,908,1605827158,10.8573,-0.195768,0.325065,11.0665,8.93872,0.227366,-0.146398,9.17137,6.02021,0.269582,-0.305988,6.24119,30.1085
283820,908,1604510479,4.33085,1.68283,3.07343,12.0545,3.04817,2.01385,2.99304,11.6225,2.06911,2.24226,-3.10001,9.85042,28.9937
283820,908,1604850381,6.22095,1.3297,1.62492,12.5807,5.75633,1.35225,1.73097,11.8723,4.72661,0.793052,1.95205,6.2934,20.2263
283820,908,1605783996,6.43561,0.871374,-2.97125,9.03804,6.13484,0.583905,2.76129,7.21149,6.10447,0.782144,2.60577,8.06952,16.799
283820,909,1606206891,5.23639,-1.70154,-0.75087,14.8319,2.82309,-2.05333,-0.667304,11.1829,2.01595,-1.98195,-0.734408,7.45442,88.0587
283820,909,1607427466,19.8325,-0.103783,2.75933,19.9397,10.2719,-0.338928,2.94882,10.8681,9.92656,-0.208546,2.96854,10.1438,176.689
283820,909,1607478981,5.94462,-2.14019,1.22505,25.6176,3.14309,-1.87376,1.30077,10.4769,2.39523,-2.23362,1.47761,11.3069,3.6702
283820,910,1609204945,8.73717,-1.05413,2.85108,14.0584,5.5574,-1.08145,3.04951,9.13715,2.0754,-1.61089,2.97459,5.40428,630.51
283820,910,1608778113,7.34715,1.97624,0.754656,27.0163,7.3076,1.85961,0.636512,24.0312,3.23372,1.74434,0.362527,9.53505,6.4275
283820,910,1607849696,4.55712,-1.2974,-3.10291,8.96221,4.01336,-1.44122,-3.07007,8.95541,2.54067,-1.63944,2.97161,6.79253,3.23724
283820,910,1608196292,6.51895,1.74319,-3.03598,19.2003,5.20522,1.49229,-3.06927,12.1601,4.8569,1.34964,-3.1286,9.99456,2.5316
283820,910,1608827524,4.13711,1.35676,-2.687,8.56673,3.69998,1.43885,-2.99183,8.23879,2.07298,1.32242,-2.55611,4.16697,181.603
283820,911,1610631146,11.7431,1.74848,2.29394,34.7592,8.07468,1.83589,2.19751,25.9611,2.30064,1.93955,2.30702,8.16725,16.1745
283820,911,1610629975,3.64139,-1.60662,3.01324,9.44362,3.45627,-1.8463,-3.03151,11.2233,2.60997,-1.6979,-2.5949,7.3681,2.01195
283820,911,1610692344,6.38181,-1.49752,0.966963,14.9793,5.65721,-0.987357,0.412468,8.64681,3.36896,-1.45314,0.835683,7.59831,120.94
283820,911,1611031296,11.197,0.739735,-0.783071,14.4033,4.68769,0.466232,-0.734662,5.20755,3.86855,0.132527,-0.916762,3.904,56.085
283820,911,1611155963,5.4814,-0.632632,1.32061,6.61622,5.28774,-1.13609,0.937412,9.08402,5.11381,-0.487536,1.27475,5.73467,102.977
283820,911,1610571668,15.2402,0.629896,0.920643,18.3652,5.00539,0.605933,0.834762,5.95367,4.71317,0.692015,1.04361,5.88841,1.56908
283820,911,1609727378,7.04843,-1.54955,0.65843,17.3455,6.46555,-1.66847,0.807924,17.7566,3.40299,-1.62978,0.758589,9.01639,81514.2
283820,911,1611234665,22.9658,0.938236,-0.741063,33.8378,6.43845,0.913125,-0.621778,9.315,5.5703,0.989889,-0.840544,8.53033,22.8726
283820,912,1612301812,23.7066,1.07779,-0.842704,38.8616,8.54193,0.879334,-0.606599,12.0632,3.78418,1.22032,-0.744393,6.97012,1107.36
283820,912,1611930412,12.8844,1.96993,-2.1761,47.0902,5.02075,1.97051,-2.35198,18.3605,2.55909,1.38052,-2.37365,5.41146,153.39
283820,912,1613081117,6.95456,-1.32365,-0.00243881,13.9904,5.68092,-1.47554,-0.00475642,13.0723,3.6055,-1.51925,-0.0675109,8.6316,2.26597
283820,912,1611625767,7.91709,1.41144,-2.00031,17.2028,5.51188,1.24405,-2.09382,10.357,2.83997,1.2761,-2.09365,5.48466,5.05672
283820,912,1612893255,15.4586,1.33638,-2.83212,31.4432,6.84651,1.48096,-2.8452,15.8315,5.09692,1.39839,-2.98819,10.9478,171.509
283820,912,1612559094,6.69353,-1.9453,1.56395,23.8916,4.93675,-1.71629,1.3104,14.1777,4.50115,-1.82033,1.54979,14.2598,120.472
283820,913,1614229547,9.577,-1.73637,0.0123637,28.0267,7.51583,-1.44394,0.193941,16.8109,3.26287,-1.46355,-0.0783807,7.42818,211.763
283820,913,1613326694,10.5635,-0.68096,-0.0529517,13.1093,8.77287,-0.768095,0.0421697,11.491,4.62166,-0.357172,0.234655,4.92074,413.092
283820,913,1614060676,7.87411,-2.2228,-2.35372,36.778,5.30173,-1.83663,-2.13925,17.0578,3.31465,-1.95493,-2.43948,11.9415,74.291
283820,913,1614241137,9.80845,1.22858,2.8006,18.1904,8.24436,1.24583,2.92062,15.5143,2.6778,1.78968,2.46695,8.24098,92.9887
283820,913,1614857056,20.535,1.83465,0.780625,65.9444,6.53269,1.70957,0.661559,18.6431,4.27563,1.6721,0.90171,11.7824,68.2641
283820,933,1650122446,4.66678,1.86976,1.18969,15.4962,4.04726,1.99798,0.925422,15.1974,2.24216,2.31971,0.586953,11.5151,0.986408
283820,933,1649726898,6.76277,1.06504,-2.68762,10.9754,5.2201,1.32522,-2.83158,10.5158,3.66904,0.868404,-2.27747,5.14274,75.7158
283820,933,1650722910,5.06842,-1.87961,-0.962142,16.9886,4.50341,-1.6323,-1.58705,11.9595,3.35738,-1.72916,-0.902553,9.75941,33.2132
283820,933,1650484305,10.9471,-0.290277,0.317027,11.4121,8.37177,-0.360847,-0.00672768,8.92338,8.13856,-0.428741,0.284699,8.89873,23.1044
283820,933,1649939638,6.24613,-1.29955,-0.697978,12.3062,4.30736,-1.4852,-0.360929,9.99856,3.10111,-1.47229,-0.122228,7.1157,12.8787
283820,934,1651788355,7.46707,0.684993,-0.640462,9.28909,7.21345,0.862745,-0.65701,10.0693,4.07956,0.994546,-0.61648,6.26992,170.707
283820,934,1652454299,11.2293,0.423582,1.27612,12.2523,6.54374,0.932201,1.25464,9.59954,5.33047,0.601458,1.32526,6.32492,201.891
283820,934,1651228501,12.4024,1.07396,2.37254,20.2696,5.74801,1.0554,2.47325,9.25828,5.20531,1.25986,2.56643,9.91312,1.92534
283820,934,1650899624,10.4993,-1.3441,-2.92559,21.5002,9.19239,-1.26249,-2.9823,17.5447,8.54686,-1.26298,-2.91177,16.3194,2.15841
283820,934,1651707819,9.1101,0.870015,-0.0624163,12.7814,6.54675,0.88195,-0.159411,9.26288,4.06205,0.808252,-0.137141,5.46371,7.05189
283820,934,1651395297,15.8765,-0.637851,2.37265,19.2175,8.73042,-0.465738,2.56863,9.6951,6.23776,-0.587541,2.56308,7.3465,1.34111
283820,915,1616949542,3.38734,-1.74394,-2.12446,9.98412,3.20591,-1.65809,-1.79675,8.72039,3.19064,-1.57529,-1.82313,8.0397,12.8305
283820,915,1617061976,4.08441,1.62278,-0.100501,10.7517,3.3515,1.82515,0.0735083,10.6665,3.15631,1.76388,0.2382,9.47959,29.8293
283820,915,1616820113,13.1295,0.495266,-0.759614,14.7734,12.0039,0.750503,-0.389397,15.5465,5.54426,0.587804,-0.454391,6.53082,97.5233
283820,915,1617620476,7.06016,-1.45551,-2.09041,15.9561,6.41251,-1.74713,-2.42599,18.9569,3.46876,-1.6601,-2.03325,9.45288,14.1587
283820,915,1618107011,6.22778,1.12186,-2.03595,10.576,6.20358,1.28511,-1.84234,12.0716,2.11162,1.41523,-1.46707,4.60485,57.9107
283820,915,1618532893,11.8945,-1.77963,0.255083,36.2567,8.48175,-1.62374,0.377468,22.3462,3.61708,-1.58158,0.197063,9.16676,610.628
283820,915,1617180932,17.9758,0.810723,-2.00727,24.2143,15.2832,0.806347,-1.93867,20.5271,5.28724,0.772642,-1.97942,6.94632,2.04212
283820,915,1617864872,7.22592,1.09567,2.79766,12.0154,4.92348,1.20706,2.7343,8.96803,4.32592,1.025,2.77082,6.80525,49.6837
283820,916,1618718240,10.9576,0.131709,-0.974853,11.0533,5.9328,0.247663,-0.897394,6.11659,4.31115,0.0559884,-0.925438,4.31921,2.56298
283820,916,1619777976,8.01664,-1.4792,1.35756,18.5077,6.76164,-1.40778,1.23307,14.6446,5.28249,-1.60239,1.6038,13.6459,4.68228
283820,916,1619490983,23.5023,-1.75291,-1.98909,69.8565,6.0403,-1.8074,-2.31753,18.9024,3.65679,-1.69891,-1.98295,10.3325,0.572168
283820,916,1619897903,5.437,-1.4701,2.64762,12.45,4.49197,-1.51835,2.37804,10.7448,2.30756,-1.97198,2.30497,8.45101,3.81586
